name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti_Swift_Dzire_VDI_Optional,2017,725000,18500,Diesel,Dealer,Manual,First_Owner
Maruti_Eeco_5_Seater_AC_BSIV,2018,401000,10200,Petrol,Dealer,Manual,First_Owner
Hyundai_i20_Sportz_1.4_CRDi,2018,750000,29000,Diesel,Dealer,Manual,First_Owner
Maruti_Omni_Maruti_Omni_MPI_STD_BSIII_5-STR_W/_IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First_Owner
Maruti_Swift_ZDi_BSIV,2016,665000,46000,Diesel,Dealer,Manual,First_Owner
Hyundai_i20_2015-2017_Sportz_Option_1.4_CRDi,2014,465000,70000,Diesel,Dealer,Manual,First_Owner
Maruti_Alto_LXi,2012,160000,60000,Petrol,Individual,Manual,Second_Owner
Mahindra_Jeep_CL_500_MDI,1996,250000,35000,Diesel,Individual,Manual,Second_Owner
Honda_City_i_DTEC_VX,2014,675000,90000,Diesel,Dealer,Manual,First_Owner
Maruti_Wagon_R_VXI_BS_IV,2013,300000,80000,Petrol,Dealer,Manual,First_Owner
Tata_Indica_DLS,2005,70000,80000,Diesel,Individual,Manual,First_Owner
Hyundai_EON_Magna_Plus,2014,240000,73300,Petrol,Dealer,Manual,Second_Owner
Toyota_Etios_GD,2014,525000,92000,Diesel,Dealer,Manual,First_Owner
Maruti_Alto_LXi,2009,151000,66764,Petrol,Dealer,Manual,Second_Owner
Maruti_Alto_LXi,2009,140000,100000,Petrol,Individual,Manual,First_Owner
Chevrolet_Tavera_Neo_LS_B3_-_7(C)_seats_BSIII,2010,280000,350000,Diesel,Individual,Manual,Second_Owner
Toyota_Corolla_Altis_Diesel_D4DG,2011,350000,230000,Diesel,Individual,Manual,First_Owner
Mahindra_Scorpio_1.99_S6_Plus,2017,570000,60000,Diesel,Individual,Manual,First_Owner
Hyundai_EON_Magna_Plus,2018,300000,31000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_Classic_Dicor,2007,100000,39000,Diesel,Individual,Manual,First_Owner
Toyota_Innova_2.5_V_Diesel_8-seater,2009,500000,120000,Diesel,Individual,Manual,Third_Owner
Tata_Indica_Vista_Quadrajet_LS,2014,125000,166000,Diesel,Individual,Manual,Fourth_&_Above_Owner
Maruti_Swift_1.3_VXi,2006,130000,110000,Petrol,Individual,Manual,Third_Owner
Ford_EcoSport_1.5_Diesel_Titanium_BSIV,2017,925000,35000,Diesel,Individual,Manual,First_Owner
Maruti_Ciaz_1.3_Delta,2018,750000,60000,Diesel,Individual,Manual,First_Owner
Honda_Civic_1.8_V_AT,2007,200000,54000,Petrol,Individual,Automatic,Second_Owner
Hyundai_i10_Sportz_1.2,2010,248000,63000,Petrol,Individual,Manual,Second_Owner
Skoda_Rapid_1.5_TDI_Elegance,2014,450000,120000,Diesel,Individual,Manual,Second_Owner
Hyundai_Getz_GLS,2005,80000,120000,Petrol,Individual,Manual,Third_Owner
Nissan_Terrano_XL,2014,650000,76000,Petrol,Individual,Manual,Second_Owner
Hyundai_Grand_i10_CRDi_Sportz,2015,450000,80000,Diesel,Individual,Manual,First_Owner
Hyundai_Elite_i20_Diesel_Era,2019,650000,25000,Diesel,Individual,Manual,First_Owner
Honda_Amaze_S_i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First_Owner
Honda_Brio_S_MT,2015,371000,20000,Petrol,Dealer,Manual,First_Owner
Hyundai_Creta_1.6_SX_Option,2017,1025000,9000,Petrol,Dealer,Manual,First_Owner
Mercedes-Benz_S-Class_S_350d_Connoisseurs_Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First_Owner
Mahindra_XUV500_W8_2WD,2015,750000,70000,Diesel,Individual,Manual,First_Owner
Renault_Duster_85PS_Diesel_RxL_Optional,2013,600000,120000,Diesel,Individual,Manual,First_Owner
Hyundai_Santro_Xing_XO,2007,80000,58000,Petrol,Dealer,Manual,Second_Owner
Mahindra_Bolero_2011-2019_SLE,2013,325000,62200,Diesel,Dealer,Manual,First_Owner
Audi_A6_2.0_TDI_Premium_Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second_Owner
Fiat_Avventura_MULTIJET_Emotion,2015,350000,53000,Diesel,Individual,Manual,Second_Owner
Audi_A8_4.2_TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First_Owner
Datsun_RediGO_1.0_S,2017,210000,15000,Petrol,Dealer,Manual,Second_Owner
Volkswagen_Jetta_1.4_TSI_Comfortline,2013,450000,50000,Petrol,Individual,Manual,First_Owner
Audi_A4_2.0_TDI_177_Bhp_Premium_Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First_Owner
Honda_Civic_1.8_V_AT,2009,210000,63500,Petrol,Dealer,Automatic,First_Owner
Mercedes-Benz_E-Class_Exclusive_E_200_BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First_Owner
BMW_X1_sDrive_20d_xLine,2017,2750000,13000,Diesel,Individual,Automatic,First_Owner
Volvo_V40_D3_R_Design,2018,1975000,21000,Diesel,Dealer,Automatic,First_Owner
Maruti_SX4_Zxi_BSIII,2008,175000,29173,Petrol,Dealer,Manual,First_Owner
BMW_7_Series_730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First_Owner
Mahindra_Bolero_Power_Plus_SLX,2017,628000,120000,Diesel,Individual,Manual,First_Owner
Hyundai_Sonata_CRDi_M/T,2010,600000,100000,Diesel,Individual,Manual,First_Owner
Nissan_Micra_Active_XV_Petrol,2017,399000,30000,Petrol,Individual,Manual,First_Owner
Mahindra_Xylo_D4,2018,750000,87000,Diesel,Individual,Manual,First_Owner
Hyundai_Elite_i20_Sportz_Plus_Dual_Tone_BSIV,2019,750000,15000,Petrol,Individual,Manual,First_Owner
Renault_KWID_RXT,2017,315000,16000,Petrol,Individual,Manual,First_Owner
Mahindra_Xylo_E4_BS_III,2012,600000,60000,Diesel,Individual,Manual,First_Owner
Maruti_Wagon_R_LXI_Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth_&_Above_Owner
Maruti_SX4_ZXI_MT_BSIV,2011,250000,110000,Petrol,Individual,Manual,Third_Owner
Renault_KWID_RXT,2017,350000,25000,Petrol,Individual,Manual,First_Owner
Hyundai_Creta_1.4_CRDi_S,2016,780000,60000,Diesel,Individual,Manual,First_Owner
Maruti_Swift_Dzire_VDI,2014,434000,79350,Diesel,Individual,Manual,Second_Owner
Hyundai_Verna_1.6_VTVT_AT_S_Option,2016,690000,80000,Petrol,Individual,Automatic,First_Owner
Mahindra_Scorpio_LX_BSIV,2014,555000,90000,Diesel,Individual,Manual,Second_Owner
Maruti_SX4_Vxi_BSIII,2007,120000,90000,Petrol,Individual,Manual,Second_Owner
Maruti_Ertiga_VDI,2014,500000,120000,Diesel,Individual,Manual,Second_Owner
Chevrolet_Beat_Diesel,2013,165000,60000,Diesel,Individual,Manual,Second_Owner
Maruti_Zen_LX,2004,95000,50000,Petrol,Individual,Manual,First_Owner
Maruti_Baleno_Delta_1.2,2018,550000,20000,Petrol,Individual,Manual,First_Owner
Maruti_Swift_Vdi_BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth_&_Above_Owner
Tata_Nano_Lx_BSIV,2012,100000,50000,Petrol,Individual,Manual,Second_Owner
Toyota_Innova_2.5_GX_(Diesel)_8_Seater,2012,500000,100000,Diesel,Individual,Manual,First_Owner
Maruti_Ertiga_SHVS_VDI,2016,800000,70000,Diesel,Individual,Manual,Second_Owner
Hyundai_Creta_1.6_CRDi_SX,2016,840000,70000,Diesel,Individual,Manual,Second_Owner
Honda_Amaze_S_i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First_Owner
Tata_Indica_Vista_Aqua_1.4_TDI,2010,125000,81000,Diesel,Individual,Manual,Second_Owner
Chevrolet_Tavera_Neo_2_LS_B4_7_Str_BSIII,2012,400000,120000,Diesel,Individual,Manual,Third_Owner
Chevrolet_Cruze_LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First_Owner
Ford_Figo_Aspire_1.2_Ti-VCT_Titanium_Plus,2015,530000,14272,Petrol,Dealer,Manual,First_Owner
Ford_EcoSport_1.5_Diesel_Titanium_Plus_BSIV,2017,840000,49213,Diesel,Dealer,Manual,First_Owner
Hyundai_i10_Sportz_1.1L,2015,229999,40000,Petrol,Individual,Manual,First_Owner
Maruti_800_Std,1998,40000,40000,Petrol,Individual,Manual,Fourth_&_Above_Owner
Chevrolet_Spark_1.0_LS,2012,130000,80000,Petrol,Individual,Manual,First_Owner
Hyundai_EON_Era_Plus,2015,200000,70000,Petrol,Individual,Manual,First_Owner
Tata_Indica_Vista_Aqua_TDI_BSIII,2011,120000,70000,Diesel,Individual,Manual,First_Owner
Hyundai_Santro_LP_zipPlus,2003,75000,57000,Petrol,Individual,Manual,First_Owner
Tata_Bolt_Quadrajet_XE,2016,250000,120000,Diesel,Individual,Manual,First_Owner
Maruti_800_AC_BSIII,2005,100000,30000,Petrol,Individual,Manual,First_Owner
Hyundai_EON_Era_Plus,2013,280000,3240,Petrol,Individual,Manual,Second_Owner
Hyundai_i20_Magna_1.2,2015,540000,5000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_1.2_Asta,2018,700000,10000,Petrol,Individual,Manual,First_Owner
Maruti_Ciaz_VDi_Plus,2015,525000,100000,Diesel,Individual,Manual,First_Owner
Hyundai_i20_Asta_1.4_CRDi,2016,430000,80000,Diesel,Individual,Manual,First_Owner
Hyundai_Santro_LE,2002,65000,70000,Petrol,Individual,Manual,First_Owner
Maruti_Vitara_Brezza_VDi,2018,800000,35000,Diesel,Individual,Manual,First_Owner
Hyundai_Santro_Xing_XL_eRLX_Euro_III,2007,75000,114000,Petrol,Individual,Manual,Second_Owner
Hyundai_Getz_1.3_GLS,2008,210000,53772,Petrol,Individual,Manual,First_Owner
Mahindra_Quanto_C8,2012,195000,140000,Diesel,Individual,Manual,Second_Owner
Chevrolet_Tavera_Neo_3_LS_7_C_BSIII,2015,400000,120000,Diesel,Individual,Manual,First_Owner
Hyundai_EON_Magna_Plus,2012,170000,60000,Petrol,Individual,Manual,First_Owner
Renault_KWID_RXT,2016,225000,25000,Petrol,Individual,Manual,First_Owner
Maruti_Wagon_R_DUO_LPG,2014,210000,90000,LPG,Individual,Manual,First_Owner
Maruti_Wagon_R_LXI,2020,240000,120000,Petrol,Individual,Manual,First_Owner
Chevrolet_Enjoy_1.3_TCDi_LS_8,2015,300000,175000,Diesel,Individual,Manual,First_Owner
Chevrolet_Spark_1.0_LS,2011,99000,100000,Petrol,Individual,Manual,Third_Owner
Honda_City_i_VTEC_SV,2014,620000,36000,Petrol,Individual,Manual,First_Owner
Honda_Amaze_VX_i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First_Owner
Jaguar_XJ_5.0_L_V8_Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second_Owner
Honda_Brio_E_MT,2013,260000,70000,Petrol,Individual,Manual,Second_Owner
Maruti_Swift_VVT_ZXI,2017,550000,60000,Petrol,Individual,Manual,First_Owner
Tata_Indigo_CR4,2011,150000,155500,Diesel,Individual,Manual,First_Owner
Hyundai_i10_Asta_AT,2011,350000,50000,Petrol,Individual,Automatic,Second_Owner
Chevrolet_Beat_LT,2016,320000,40000,Petrol,Individual,Manual,First_Owner
Maruti_Swift_VDI_BSIV,2015,400000,100000,Diesel,Individual,Manual,Third_Owner
Maruti_Alto_LXi,2012,175000,80000,Petrol,Individual,Manual,Third_Owner
Chevrolet_Beat_LT,2011,120000,90000,Petrol,Individual,Manual,Second_Owner
Renault_Duster_110PS_Diesel_RxZ,2013,320000,90000,Diesel,Individual,Manual,Second_Owner
Hyundai_Santro_Xing_XG,2006,70000,110000,Petrol,Individual,Manual,Third_Owner
Maruti_Swift_Dzire_ZXI_Plus,2019,810000,15000,Petrol,Individual,Manual,First_Owner
Maruti_800_AC,2007,95000,100000,Petrol,Individual,Manual,Second_Owner
Maruti_Alto_K10_LXI_CNG,2020,282000,40000,CNG,Individual,Manual,First_Owner
Maruti_800_Std_BSII,2004,80000,60000,Petrol,Individual,Manual,Second_Owner
Tata_Nano_LX_SE,2013,72000,25000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_Magna_1.2,2016,600000,25000,Petrol,Individual,Manual,First_Owner
Skoda_Rapid_1.6_MPI_Ambition_With_Alloy_Wheel,2015,640000,23000,Petrol,Individual,Manual,First_Owner
Maruti_Alto_K10_VXI,2018,380000,22155,Petrol,Individual,Manual,First_Owner
Maruti_Ciaz_1.4_Delta,2018,650000,70000,Petrol,Individual,Manual,First_Owner
Maruti_Alto_LX,2009,150000,60000,Petrol,Individual,Manual,Second_Owner
Hyundai_i20_Asta,2009,280000,110000,Petrol,Individual,Manual,Second_Owner
Tata_Nexon_1.2_Revotron_XM,2018,430000,30000,Petrol,Individual,Manual,First_Owner
Mahindra_Bolero_Power_Plus_SLX,2019,800000,15000,Diesel,Individual,Manual,First_Owner
Maruti_Zen_D,2003,75000,100000,Diesel,Individual,Manual,Second_Owner
Volkswagen_Vento_Celeste_1.5_TDI_Highline_AT,2016,650000,70000,Diesel,Individual,Automatic,First_Owner
Maruti_Eeco_7_Seater_Standard_BSIV,2017,390000,24000,Petrol,Individual,Manual,First_Owner
Honda_City_1.5_EXI,2005,100000,120000,Petrol,Individual,Manual,Second_Owner
Mercedes-Benz_New_C-Class_220_CDI_AT,2013,1500000,35000,Diesel,Individual,Automatic,First_Owner
Maruti_SX4_Zxi_with_Leather_BSIII,2007,175000,78380,Petrol,Individual,Manual,First_Owner
Renault_Duster_110PS_Diesel_RxZ,2012,434999,110000,Diesel,Individual,Manual,Second_Owner
Ford_Figo_Diesel_Titanium,2010,170000,90000,Diesel,Individual,Manual,Third_Owner
Ford_Figo_Diesel_Titanium,2011,190000,90000,Diesel,Individual,Manual,Third_Owner
Maruti_Swift_Dzire_VDi,2009,250000,150000,Diesel,Individual,Manual,Third_Owner
Mahindra_Xylo_E4,2009,229999,230000,Diesel,Individual,Manual,Third_Owner
Maruti_Esteem_Vxi_-_BSIII,2006,140000,70000,Petrol,Individual,Manual,Third_Owner
Maruti_Swift_VDI_BSIV,2017,600000,80362,Diesel,Individual,Manual,First_Owner
Hyundai_i20_1.2_Sportz,2012,280000,110000,Petrol,Individual,Manual,Third_Owner
Chevrolet_Beat_Diesel_LT,2012,150000,60000,Diesel,Individual,Manual,First_Owner
Chevrolet_Cruze_LTZ_AT,2015,650000,50000,Diesel,Individual,Automatic,First_Owner
Nissan_Micra_XL,2014,210000,40000,Petrol,Individual,Manual,Second_Owner
BMW_5_Series_520d_Luxury_Line,2017,2900000,40000,Diesel,Individual,Automatic,First_Owner
Chevrolet_Enjoy_1.3_TCDi_LS_8,2013,425000,20000,Diesel,Dealer,Manual,First_Owner
Hyundai_EON_Era_Plus_Option,2014,265000,55000,Petrol,Dealer,Manual,First_Owner
Fiat_Linea_T_Jet_Emotion,2018,890000,1136,Petrol,Dealer,Manual,First_Owner
Renault_Scala_RxL,2013,365000,55000,Petrol,Dealer,Manual,First_Owner
Ford_Figo_Petrol_Titanium,2014,350000,43000,Petrol,Dealer,Manual,First_Owner
Maruti_Ciaz_ZDi_SHVS,2016,685000,60000,Diesel,Individual,Manual,First_Owner
Skoda_Rapid_1.5_TDI_Ambition_BSIV,2018,940000,2650,Diesel,Dealer,Manual,First_Owner
Mahindra_XUV500_W6_2WD,2017,1000000,40000,Diesel,Individual,Manual,First_Owner
Mahindra_XUV300_W8_Option,2019,1150000,15000,Petrol,Dealer,Manual,First_Owner
Maruti_Ertiga_SHVS_ZDI,2016,450000,115962,Diesel,Individual,Manual,Second_Owner
Nissan_Terrano_XE_D,2015,590000,65000,Diesel,Dealer,Manual,First_Owner
Maruti_S-Cross_Facelift,2017,800000,40000,Diesel,Individual,Manual,First_Owner
Hyundai_i20_Magna_1.4_CRDi_(Diesel),2012,385000,58000,Diesel,Dealer,Manual,First_Owner
Mercedes-Benz_New_C-Class_C_220_CDI_BE_Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First_Owner
Hyundai_EON_Era_Plus,2012,235000,54000,Petrol,Dealer,Manual,First_Owner
Volkswagen_Ameo_1.5_TDI_Highline,2017,640000,56000,Diesel,Dealer,Manual,First_Owner
Maruti_Alto_LX,2006,52000,120000,Petrol,Individual,Manual,Third_Owner
Maruti_Omni_LPG_CARGO_BSIII_W_IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second_Owner
Maruti_Alto_LX,2012,140000,70000,Petrol,Individual,Manual,Second_Owner
Hyundai_Verna_i_(Petrol),2008,120000,90000,Petrol,Individual,Manual,Second_Owner
Mahindra_Renault_Logan_1.5_DLS,2008,89999,213000,Diesel,Individual,Manual,First_Owner
Chevrolet_Optra_Magnum_2.0_LS_BSIII,2012,180000,120000,Diesel,Individual,Manual,First_Owner
Mahindra_Scorpio_S11_BSIV,2017,1500000,20000,Diesel,Individual,Manual,First_Owner
Hyundai_i20_Active_1.2_SX,2017,700000,10000,Petrol,Individual,Manual,First_Owner
Maruti_SX4_Celebration_Diesel,2012,285000,80000,Diesel,Individual,Manual,Second_Owner
Hyundai_Grand_i10_Magna,2015,390000,90000,Petrol,Individual,Manual,First_Owner
Maruti_Alto_LXi_BSIII,2008,125000,80000,Petrol,Individual,Manual,First_Owner
Maruti_SX4_Zxi_with_Leather_BSIII,2008,225000,60000,Petrol,Individual,Manual,Second_Owner
Hyundai_i10_Era,2011,175000,139000,Petrol,Individual,Manual,Second_Owner
Toyota_Innova_2.5_V_Diesel_7-seater,2011,1075000,160000,Diesel,Individual,Manual,Second_Owner
Honda_Mobilio_V_i_DTEC,2014,300000,150000,Diesel,Individual,Manual,First_Owner
Toyota_Innova_2.5_G_(Diesel)_7_Seater_BS_IV,2010,700000,163000,Diesel,Individual,Manual,Fourth_&_Above_Owner
Tata_Indica_V2_2001-2011_DLS_BSIII,2009,90000,120000,Diesel,Dealer,Manual,First_Owner
Tata_Indica_Vista_TDI_LS,2011,120000,120000,Diesel,Individual,Manual,Second_Owner
Chevrolet_Beat_Diesel_LS,2012,220000,100000,Diesel,Individual,Manual,Second_Owner
Tata_Zest_Quadrajet_1.3_75PS_XE,2015,300000,140000,Diesel,Dealer,Manual,First_Owner
Skoda_Fabia_1.2L_Diesel_Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second_Owner
Maruti_800_Std,2013,170000,70000,Petrol,Individual,Manual,First_Owner
Ford_Figo_Petrol_Titanium,2015,300000,50000,Petrol,Individual,Manual,Second_Owner
Toyota_Innova_2.5_VX_(Diesel)_8_Seater,2014,1050000,70000,Diesel,Individual,Manual,First_Owner
Honda_Mobilio_V_i_DTEC,2014,300000,150000,Diesel,Individual,Manual,First_Owner
Hyundai_Grand_i10_1.2_CRDi_Asta,2018,465000,25000,Diesel,Individual,Manual,First_Owner
Chevrolet_Beat_Diesel_LT,2011,130000,80000,Diesel,Individual,Manual,Second_Owner
Datsun_GO_Plus_T_Option_Petrol,2018,434999,10000,Petrol,Individual,Manual,First_Owner
Hyundai_Grand_i10_1.2_Kappa_Asta,2018,500000,32000,Petrol,Individual,Manual,First_Owner
Maruti_Omni_MPI_STD_BSIV,2018,200000,10000,Petrol,Individual,Manual,First_Owner
Maruti_Baleno_Alpha_1.2,2017,625000,52000,Petrol,Dealer,Manual,First_Owner
Ford_Fiesta_Classic_1.4_SXI_Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third_Owner
Hyundai_Elite_i20_Asta_Option_BSIV,2019,800000,11240,Petrol,Individual,Manual,First_Owner
Hyundai_Grand_i10_CRDi_Magna,2017,490000,66000,Diesel,Dealer,Manual,First_Owner
Maruti_Ertiga_SHVS_ZDI,2017,880000,64000,Diesel,Dealer,Manual,First_Owner
Hyundai_Santro_Xing_GL_Plus,2013,290000,49000,Petrol,Individual,Manual,First_Owner
Tata_Sumo_GX_TC_7_Str_BSIII,2006,115999,100000,Diesel,Individual,Manual,Second_Owner
Renault_KWID_RXT,2018,360000,26500,Petrol,Individual,Manual,First_Owner
Maruti_800_AC,2002,65000,100000,Petrol,Individual,Manual,Second_Owner
Maruti_Vitara_Brezza_LDi_Option,2017,685000,72000,Diesel,Dealer,Manual,First_Owner
Honda_Jazz_S,2009,300000,50000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_1.4_Sportz,2017,680000,44000,Diesel,Dealer,Manual,First_Owner
Maruti_Ertiga_SHVS_ZDI_Plus,2017,1000000,60000,Diesel,Individual,Manual,Second_Owner
Tata_Sumo_SE_Plus_BSIII,2002,100000,120000,Diesel,Individual,Manual,First_Owner
Mahindra_Xylo_E4,2010,160000,130000,Diesel,Individual,Manual,First_Owner
Maruti_Swift_ZDi_BSIV,2017,450000,70000,Diesel,Individual,Manual,First_Owner
Maruti_Ertiga_VXI,2014,600000,20000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_1.4_Magna_ABS,2009,180000,60000,Diesel,Individual,Manual,Second_Owner
Maruti_Alto_LXi,2007,100000,195000,Petrol,Individual,Manual,First_Owner
Maruti_Alto_LXi,2010,120000,90000,Petrol,Individual,Manual,Second_Owner
Hyundai_Getz_GL,2006,130000,80000,Petrol,Individual,Manual,Third_Owner
Maruti_Wagon_R_LX_BS_IV,2011,160000,155000,Petrol,Individual,Manual,First_Owner
Mahindra_Bolero_Power_Plus_SLX,2019,860000,35000,Diesel,Individual,Manual,First_Owner
Hyundai_i20_1.2_Spotz,2018,650000,20000,Petrol,Individual,Manual,Second_Owner
Maruti_Wagon_R_LXI_Minor,2010,100000,80000,Petrol,Individual,Manual,Second_Owner
Maruti_Alto_800_VXI,2017,282000,20000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_Asta_(o),2009,300000,50000,Petrol,Individual,Manual,First_Owner
Hyundai_i20_Asta,2010,270000,110000,Petrol,Individual,Manual,Second_Owner
Hyundai_Verna_1.6_SX_CRDi_(O),2013,550000,29000,Diesel,Individual,Manual,First_Owner
Mahindra_Xylo_D2_BSIV,2013,450000,120000,Diesel,Individual,Manual,First_Owner
Mahindra_Bolero_SLX_2WD_BSIII,2011,430000,70000,Diesel,Individual,Manual,Second_Owner
Maruti_Ertiga_VXI_ABS,2013,350000,40000,Petrol,Individual,Manual,First_Owner
Honda_Brio_1.2_E_MT,2017,350000,20000,Petrol,Individual,Manual,First_Owner
Toyota_Etios_Liva_G,2013,229999,50000,Petrol,Individual,Manual,Second_Owner
